Datetime,Open,High,Low,Close,Volume
2017-10-30 02:00:00,5.5e-07,7.1e-07,2.6e-07,3e-07,254806915.0
2017-11-06 02:00:00,3e-07,3.4e-07,2.7e-07,3e-07,652032136.0
2017-11-13 02:00:00,3e-07,4.1e-07,2.3e-07,2.4e-07,2185635080.0
2017-11-20 02:00:00,2.5e-07,3.2e-07,2.1e-07,2.3e-07,2010555160.0
2017-11-27 02:00:00,2.3e-07,2.5e-07,1.8e-07,1.9e-07,2470633156.0
2017-12-04 02:00:00,1.9e-07,4.1e-07,1.7e-07,2.8e-07,8362002107.0
2017-12-11 02:00:00,2.8e-07,2.2e-06,2.7e-07,1.82e-06,23688036684.0
2017-12-18 02:00:00,1.82e-06,4.34e-06,1.35e-06,2.63e-06,29063260841.0
2017-12-25 02:00:00,2.63e-06,3.25e-06,2e-06,3.18e-06,22438127565.0
2018-01-01 02:00:00,3.19e-06,2.047e-05,3.08e-06,1.25e-05,66019835984.0
2018-01-08 02:00:00,1.248e-05,1.307e-05,6.1e-06,6.24e-06,29807188772.0
2018-01-15 02:00:00,6.23e-06,9.45e-06,3.82e-06,6.22e-06,39166098249.0
2018-01-22 02:00:00,6.22e-06,7.27e-06,5.52e-06,5.59e-06,12198706917.0
2018-01-29 02:00:00,5.59e-06,5.89e-06,3.93e-06,4.63e-06,10895321423.0
2018-02-05 02:00:00,4.63e-06,6.23e-06,3.97e-06,5.21e-06,13602381660.0
2018-02-12 02:00:00,5.2e-06,5.44e-06,4.53e-06,4.72e-06,8384358202.0
2018-02-19 02:00:00,4.73e-06,4.9e-06,3.98e-06,4.16e-06,6343896567.0
2018-02-26 02:00:00,4.15e-06,5.15e-06,3.86e-06,4.14e-06,15770551386.0
2018-03-05 02:00:00,4.15e-06,4.25e-06,3.4e-06,4.05e-06,10942102207.0
2018-03-12 02:00:00,4.05e-06,4.07e-06,3.15e-06,3.54e-06,8012021148.0
2018-03-19 02:00:00,3.54e-06,6.06e-06,3.49e-06,5.35e-06,17797545654.0
2018-03-26 03:00:00,5.35e-06,6.74e-06,4.36e-06,4.73e-06,18718988511.0
2018-04-02 03:00:00,4.72e-06,6.89e-06,4.33e-06,5.34e-06,19456458918.0
2018-04-09 03:00:00,5.33e-06,5.58e-06,4.85e-06,5.16e-06,10016955383.0
2018-04-16 03:00:00,5.17e-06,6.39e-06,5.06e-06,5.92e-06,13262641978.0
2018-04-23 03:00:00,5.92e-06,9.45e-06,5.9e-06,9.37e-06,19616726649.0
2018-04-30 03:00:00,9.38e-06,1.083e-05,8.25e-06,8.73e-06,13469002184.0
2018-05-07 03:00:00,8.73e-06,9.14e-06,7.21e-06,8.49e-06,6698797603.0
2018-05-14 03:00:00,8.5e-06,9.23e-06,7.66e-06,9.04e-06,5376186583.0
2018-05-21 03:00:00,9.03e-06,1.011e-05,8.7e-06,9.54e-06,8044210844.0
2018-05-28 03:00:00,9.53e-06,9.54e-06,7.48e-06,7.99e-06,8103988006.0
2018-06-04 03:00:00,8e-06,8.06e-06,6.69e-06,6.97e-06,3091200495.0
2018-06-11 03:00:00,6.97e-06,7.14e-06,6.12e-06,6.58e-06,3916044219.0
2018-06-18 03:00:00,6.58e-06,7.62e-06,6.41e-06,6.82e-06,4744960470.0
2018-06-25 03:00:00,6.83e-06,6.99e-06,5.66e-06,5.76e-06,3810563254.0
2018-07-02 03:00:00,5.77e-06,6.14e-06,5.31e-06,5.47e-06,3235090205.0
2018-07-09 03:00:00,5.48e-06,5.49e-06,5.09e-06,5.42e-06,4651241827.0
2018-07-16 03:00:00,5.4e-06,5.85e-06,4.65e-06,4.74e-06,3989031015.0
2018-07-23 03:00:00,4.74e-06,4.99e-06,4.09e-06,4.75e-06,3508938073.0
2018-07-30 03:00:00,4.75e-06,4.83e-06,4e-06,4.3e-06,2142149864.0
2018-08-06 03:00:00,4.31e-06,4.35e-06,3.54e-06,3.55e-06,1708387024.0
2018-08-13 03:00:00,3.55e-06,3.74e-06,2.59e-06,3.41e-06,4062735935.0
2018-08-20 03:00:00,3.41e-06,3.47e-06,3.02e-06,3.39e-06,3862426094.0
2018-08-27 03:00:00,3.4e-06,3.95e-06,3.35e-06,3.52e-06,4080166527.0
2018-09-03 03:00:00,3.51e-06,3.54e-06,3.05e-06,3.1e-06,3139359489.0
2018-09-10 03:00:00,3.09e-06,3.2e-06,2.73e-06,3.07e-06,2447493607.0
2018-09-17 03:00:00,3.07e-06,3.9e-06,2.91e-06,3.54e-06,5161306865.0
2018-09-24 03:00:00,3.54e-06,3.61e-06,3.14e-06,3.36e-06,3498819246.0
2018-10-01 03:00:00,3.36e-06,4.21e-06,3.28e-06,4.09e-06,4529393736.0
2018-10-08 03:00:00,4.09e-06,4.29e-06,3.3e-06,3.76e-06,5660879071.0
2018-10-15 03:00:00,3.76e-06,3.84e-06,3.6e-06,3.73e-06,2727020253.0
2018-10-22 03:00:00,3.72e-06,3.73e-06,3.55e-06,3.63e-06,1888610844.0
2018-10-29 02:00:00,3.63e-06,3.65e-06,3.41e-06,3.55e-06,1211463049.0
