Datetime,Open,High,Low,Close,Volume
2016-11-14 02:00:00,9.29,9.38,9.21,9.26,18096.9691738
2016-11-15 02:00:00,9.26,9.63,9.12,9.48,43289.55025586
2016-11-16 02:00:00,9.45,9.67,9.27,9.34,41593.86356353
2016-11-17 02:00:00,9.34,9.5,9.21,9.3,33528.77642497
2016-11-18 02:00:00,9.29,9.31,8.87,8.88,49216.84417269
2016-11-19 02:00:00,8.88,9.19,8.88,9.1,10745.56670418
2016-11-20 02:00:00,9.07,9.15,8.91,9.03,24229.38261351
2016-11-21 02:00:00,9.03,9.07,8.95,9.05,20428.57628217
2016-11-22 02:00:00,9.02,9.64,9.0,9.3,77241.73204539
2016-11-23 02:00:00,9.31,9.39,9.16,9.29,41889.55917245
2016-11-24 02:00:00,9.29,9.29,8.21,8.73,141124.28151022
2016-11-25 02:00:00,8.74,9.19,8.65,8.89,44354.2022386
2016-11-26 02:00:00,8.89,8.99,8.74,8.8,22286.67137495
2016-11-27 02:00:00,8.8,8.82,8.22,8.5,52917.86625658
2016-11-28 02:00:00,8.49,8.5,8.2,8.2,34135.7086049
2016-11-29 02:00:00,8.2,8.23,7.28,7.68,152863.368851
2016-11-30 02:00:00,7.72,8.25,7.64,8.1,72608.07037803
2016-12-01 02:00:00,8.1,8.29,7.86,7.9,47368.89045308
2016-12-02 02:00:00,7.9,7.94,6.95,7.29,106530.02580495
2016-12-03 02:00:00,7.29,7.7,7.17,7.45,42635.49764156
2016-12-04 02:00:00,7.43,7.46,7.0,7.07,44112.3557901
2016-12-05 02:00:00,7.03,7.22,6.16,6.29,160027.84747761
2016-12-06 02:00:00,6.32,7.48,5.58,7.38,382815.55737264
2016-12-07 02:00:00,7.38,8.09,6.79,7.82,144014.25957338
2016-12-08 02:00:00,7.82,8.33,7.69,7.7,126187.16177636
2016-12-09 02:00:00,7.7,8.24,7.58,8.01,62394.75787669
2016-12-10 02:00:00,8.01,8.07,7.59,7.7,37014.4807409
2016-12-11 02:00:00,7.69,7.88,7.63,7.81,26850.74441427
2016-12-12 02:00:00,7.82,8.11,7.71,8.08,30113.5333138
2016-12-13 02:00:00,8.05,8.05,7.85,7.92,31657.72724908
2016-12-14 02:00:00,7.92,8.04,7.79,7.79,25814.55059065
2016-12-15 02:00:00,7.82,7.83,7.4,7.45,65404.7693526
2016-12-16 02:00:00,7.51,7.64,7.45,7.52,16113.78677224
2016-12-17 02:00:00,7.52,7.6,7.21,7.53,33021.31208116
2016-12-18 02:00:00,7.53,7.64,7.36,7.58,19405.82982983
2016-12-19 02:00:00,7.55,7.55,7.3,7.34,41988.23147803
2016-12-20 02:00:00,7.35,7.51,7.3,7.4,40889.32583181
2016-12-21 02:00:00,7.44,7.73,7.39,7.54,44200.37910737
2016-12-22 02:00:00,7.58,7.58,7.14,7.25,77910.94964011
2016-12-23 02:00:00,7.26,7.35,6.83,6.85,84446.83260315
2016-12-24 02:00:00,6.85,7.08,6.84,6.94,29886.07854055
2016-12-25 02:00:00,6.93,7.08,6.85,6.85,50476.55306779
2016-12-26 02:00:00,6.85,7.0,6.72,6.9,23942.55491224
2016-12-27 02:00:00,6.93,7.02,6.76,6.87,50537.11560817
2016-12-28 02:00:00,6.85,7.36,6.73,7.29,59869.99057634
2016-12-29 02:00:00,7.25,8.18,7.22,7.86,135944.98314377
2016-12-30 02:00:00,7.89,8.11,7.7,7.74,47963.45811928
2016-12-31 02:00:00,7.74,7.79,7.56,7.61,16351.83624425
2017-01-01 02:00:00,7.67,8.13,7.62,7.74,25484.57229946
2017-01-02 02:00:00,7.77,8.07,7.63,7.99,56820.45862289
2017-01-03 02:00:00,7.99,9.59,7.87,9.25,174087.81896149
2017-01-04 02:00:00,9.2,10.47,9.05,10.41,269364.75883979
2017-01-05 02:00:00,10.45,10.95,8.82,9.63,373365.11092262
2017-01-06 02:00:00,9.68,9.88,9.1,9.59,126132.72194264
2017-01-07 02:00:00,9.68,9.68,9.12,9.37,100361.83527059
2017-01-08 02:00:00,9.37,9.92,9.25,9.82,65214.64890654
2017-01-09 02:00:00,9.85,10.39,9.7,9.8,118348.92476028
2017-01-10 02:00:00,9.89,10.18,9.73,10.05,50131.39211822
2017-01-11 02:00:00,10.1,10.14,9.15,9.3,138148.02278931
2017-01-12 02:00:00,9.34,9.58,8.64,9.23,109497.80950704
2017-01-13 02:00:00,9.25,9.27,8.92,9.2,57211.30382505
2017-01-14 02:00:00,9.19,9.35,9.02,9.16,24655.93776262
2017-01-15 02:00:00,9.15,9.38,9.13,9.23,10465.27014207
2017-01-16 02:00:00,9.23,9.26,9.04,9.15,34109.14645633
2017-01-17 02:00:00,9.15,9.99,9.1,9.7,73654.6190161
2017-01-18 02:00:00,9.76,9.85,9.29,9.68,50651.18424911
2017-01-19 02:00:00,9.68,9.84,9.53,9.76,39285.8211907
2017-01-20 02:00:00,9.76,10.15,9.74,9.93,68078.52408132
2017-01-21 02:00:00,9.96,10.3,9.89,10.22,45877.76591956
2017-01-22 02:00:00,10.24,10.26,9.85,10.02,39871.13571198
2017-01-23 02:00:00,10.02,10.18,9.92,10.09,30066.21424751
2017-01-24 02:00:00,10.09,10.09,9.85,9.91,38636.1210359
2017-01-25 02:00:00,9.91,9.92,9.72,9.8,23831.52943341
2017-01-26 02:00:00,9.79,9.99,9.74,9.86,42339.11418247
2017-01-27 02:00:00,9.86,9.91,9.75,9.84,29999.38136572
2017-01-28 02:00:00,9.85,9.87,9.78,9.87,15471.16739547
2017-01-29 02:00:00,9.87,9.87,9.71,9.77,16055.1411455
2017-01-30 02:00:00,9.79,10.04,9.72,9.87,47540.69773738
2017-01-31 02:00:00,9.88,10.0,9.8,9.9,43035.56059591
2017-02-01 02:00:00,9.94,10.09,9.8,9.97,51238.08949197
2017-02-02 02:00:00,9.97,10.08,9.84,10.07,44204.71246991
2017-02-03 02:00:00,10.07,10.25,9.84,10.23,47055.91103953
2017-02-04 02:00:00,10.24,10.57,10.18,10.53,74415.19615714
2017-02-05 02:00:00,10.52,10.55,10.37,10.41,18174.2557414
2017-02-06 02:00:00,10.44,10.6,10.4,10.52,31729.92287595
2017-02-07 02:00:00,10.52,10.8,10.5,10.74,59837.14922168
2017-02-08 02:00:00,10.73,10.78,10.4,10.64,54119.5908241
2017-02-09 02:00:00,10.65,10.73,9.87,10.21,141588.27655976
2017-02-10 02:00:00,10.24,10.79,10.11,10.67,75880.63968115
2017-02-11 02:00:00,10.67,10.79,10.59,10.73,37720.01286809
2017-02-12 02:00:00,10.73,10.76,10.61,10.73,22866.60592875
2017-02-13 02:00:00,10.76,10.76,10.53,10.68,37318.79155251
2017-02-14 02:00:00,10.71,12.79,10.66,12.3,261381.31044187
2017-02-15 02:00:00,12.32,12.47,11.9,12.26,80140.23647607
2017-02-16 02:00:00,12.26,12.26,11.91,12.16,69604.00308728
2017-02-17 02:00:00,12.17,12.18,11.9,11.98,50680.84199144
2017-02-18 02:00:00,11.99,12.1,11.9,12.08,21712.57138862
2017-02-19 02:00:00,12.09,12.15,11.98,12.06,16924.51965668
2017-02-20 02:00:00,12.07,12.22,11.65,11.65,41682.63616478
2017-02-21 02:00:00,11.65,12.15,11.41,11.92,89491.28002566
2017-02-22 02:00:00,12.04,12.19,11.87,11.95,40516.47476821
2017-02-23 02:00:00,11.98,12.55,11.95,12.38,69786.10605312
2017-02-24 02:00:00,12.47,12.59,12.14,12.4,74011.62744955
2017-02-25 02:00:00,12.4,13.12,12.27,12.81,76710.81778013
2017-02-26 02:00:00,12.84,13.85,12.64,13.77,71396.0753838
2017-02-27 02:00:00,13.77,14.87,13.51,14.62,147295.84674444
2017-02-28 02:00:00,14.62,14.99,14.14,14.81,176892.94421118
2017-03-01 02:00:00,14.83,16.28,14.63,16.28,164508.53912569
2017-03-02 02:00:00,16.28,18.29,15.5,17.97,357465.45504933
2017-03-03 02:00:00,18.06,19.62,16.2,18.2,490785.97500487
2017-03-04 02:00:00,18.23,18.8,17.33,17.33,99378.28078085
2017-03-05 02:00:00,17.47,18.2,17.05,17.95,104478.24294562
2017-03-06 02:00:00,18.07,18.99,17.8,18.49,141441.02458082
2017-03-07 02:00:00,18.48,18.53,17.5,17.87,160738.27149398
2017-03-08 02:00:00,17.87,17.89,15.3,15.3,208713.67993128
2017-03-09 02:00:00,15.3,16.9,15.15,16.7,173011.44494763
2017-03-10 02:00:00,16.69,18.45,16.15,18.03,294383.66329067
2017-03-11 02:00:00,18.03,20.24,17.4,20.0,279458.18034785
2017-03-12 02:00:00,20.04,21.76,19.85,21.75,189600.54543697
2017-03-13 02:00:00,21.76,28.5,20.54,26.36,671646.98559948
2017-03-14 02:00:00,26.36,28.0,24.45,26.71,258744.62605514
2017-03-15 02:00:00,26.71,32.51,26.27,32.51,368689.39804036
