Datetime,Open,High,Low,Close,Volume
2015-08-06 03:00:00,20.0,20.0,0.52,1.09,113511.51338248
2015-08-13 03:00:00,1.09,1.97,0.99,1.16,252900.52392126
2015-08-20 03:00:00,1.16,1.4,0.93,1.0,125262.15412136
2015-08-27 03:00:00,1.03,1.24,1.0,1.16,121709.52472985
2015-09-03 03:00:00,1.16,1.24,1.07,1.07,95381.81481609
2015-09-10 03:00:00,1.07,1.09,0.66,0.8,176269.16366247
2015-09-17 03:00:00,0.8,0.89,0.73,0.78,92016.35325125
2015-09-24 03:00:00,0.79,0.79,0.5,0.66,150760.15157624
2015-10-01 03:00:00,0.66,0.66,0.52,0.54,33071.26997617
2015-10-08 03:00:00,0.53,0.61,0.41,0.46,109893.08891971
2015-10-15 03:00:00,0.46,0.5,0.36,0.39,118488.18299519
2015-10-22 03:00:00,0.39,0.97,0.36,0.86,263998.98761061
2015-10-29 02:00:00,0.86,1.21,0.7,0.83,294718.35720075
2015-11-05 02:00:00,0.83,1.02,0.68,0.74,315136.10841308
2015-11-12 02:00:00,0.74,0.96,0.72,0.92,139990.95518824
2015-11-19 02:00:00,0.92,0.94,0.8,0.82,114238.80132597
2015-11-26 02:00:00,0.82,0.92,0.75,0.77,140939.12515071
2015-12-03 02:00:00,0.77,0.83,0.7,0.72,96456.31177709
2015-12-10 02:00:00,0.72,0.93,0.71,0.9,179097.09188405
2015-12-17 02:00:00,0.89,0.9,0.77,0.77,156629.10679392
2015-12-24 02:00:00,0.77,0.88,0.76,0.84,133629.87435925
2015-12-31 02:00:00,0.83,0.9,0.83,0.89,103734.42429822
2016-01-07 02:00:00,0.89,1.19,0.86,1.03,345996.85613912
2016-01-14 02:00:00,1.03,1.56,1.01,1.39,603413.46966309
2016-01-21 02:00:00,1.39,2.63,1.35,2.2,969060.41498125
2016-01-28 02:00:00,2.2,2.46,1.95,2.29,497998.68194971
2016-02-04 02:00:00,2.29,4.32,2.2,3.93,1055887.72124596
2016-02-11 02:00:00,3.93,5.67,3.11,3.39,1420798.25190649
2016-02-18 02:00:00,3.39,5.66,3.16,5.63,684884.24042186
2016-02-25 02:00:00,5.63,7.96,4.9,7.7,798715.44051853
2016-03-03 02:00:00,7.7,10.86,7.05,10.75,1377527.20978248
2016-03-10 02:00:00,10.75,13.59,9.35,11.2,1027790.64422912
2016-03-17 02:00:00,11.2,11.33,7.33,11.04,1225920.28133288
2016-03-24 02:00:00,11.05,11.14,9.0,10.55,524107.75576765
2016-03-31 03:00:00,10.55,11.1,8.87,9.36,381585.95707608
2016-04-07 03:00:00,9.39,9.45,6.23,7.1,902138.23485972
2016-04-14 03:00:00,7.1,8.58,7.1,7.49,412087.45292794
2016-04-21 03:00:00,7.47,7.7,6.27,6.87,339847.33586576
2016-04-28 03:00:00,6.87,8.96,6.3,8.28,557329.48563085
2016-05-05 03:00:00,8.22,8.8,7.86,8.75,251032.27054407
2016-05-12 03:00:00,8.75,12.61,8.56,12.0,848157.57457581
2016-05-19 03:00:00,11.95,13.39,10.6,11.2,1070857.5783352
2016-05-26 03:00:00,11.2,12.85,9.25,12.42,762046.6921798
2016-06-02 03:00:00,12.47,12.99,11.72,12.76,341618.48281944
2016-06-09 03:00:00,12.76,17.24,12.09,16.28,807414.43507854
2016-06-16 03:00:00,16.35,19.08,9.0,11.82,2672621.47707555
2016-06-23 03:00:00,11.82,13.75,10.29,11.35,896260.39022022
2016-06-30 03:00:00,11.36,11.52,8.55,9.53,730996.80467125
2016-07-07 03:00:00,9.53,10.64,8.89,9.45,504239.62960399
2016-07-14 03:00:00,9.51,12.07,9.51,11.35,726232.18665111
2016-07-21 03:00:00,11.35,13.59,10.43,11.7,1451475.85063218
2016-07-28 03:00:00,11.7,11.79,6.52,9.23,1135855.79832669
2016-08-04 03:00:00,9.23,11.3,9.23,10.87,572166.20641026
2016-08-11 03:00:00,10.92,11.02,9.51,9.53,241815.72163851
2016-08-18 03:00:00,9.53,10.11,9.4,9.78,135979.93933371
2016-08-25 03:00:00,9.83,10.45,9.61,10.41,141989.37883647
2016-09-01 03:00:00,10.41,11.24,10.1,10.29,263927.0565291
2016-09-08 03:00:00,10.25,10.88,9.97,10.6,211874.70288759
2016-09-15 03:00:00,10.6,12.84,10.6,12.34,548022.35953819
2016-09-22 03:00:00,12.25,12.25,11.0,11.85,342979.18260865
2016-09-29 03:00:00,11.85,12.29,11.64,11.72,216932.99467837
2016-10-06 03:00:00,11.75,11.8,10.4,10.84,347483.25391071
2016-10-13 03:00:00,10.84,11.78,10.65,10.97,259498.66886602
2016-10-20 03:00:00,10.98,11.33,10.21,10.54,207049.87584424
2016-10-27 03:00:00,10.54,10.67,7.8,9.71,495647.73278523
2016-11-03 02:00:00,9.75,10.07,9.15,9.78,239085.77206406
2016-11-10 02:00:00,9.78,9.78,8.93,9.34,236216.9659346
2016-11-17 02:00:00,9.34,9.64,8.87,9.29,241570.35796033
2016-11-24 02:00:00,9.29,9.29,7.28,8.1,513381.47288218
2016-12-01 02:00:00,8.1,8.29,5.58,7.82,907663.26363204
2016-12-08 02:00:00,7.82,8.33,7.58,7.79,315269.83916552
2016-12-15 02:00:00,7.82,7.83,7.21,7.54,254801.70580241
2016-12-22 02:00:00,7.54,7.54,6.76,7.29,337588.00826391
2016-12-29 02:00:00,7.25,10.47,7.22,10.41,710962.67545876
2017-01-05 02:00:00,10.41,10.95,8.82,9.3,921755.11013021
2017-01-12 02:00:00,9.34,9.99,8.64,9.68,356405.05102915
2017-01-19 02:00:00,9.68,10.3,9.53,9.8,266116.62128075
2017-01-26 02:00:00,9.79,10.09,9.71,9.97,240758.71508925
2017-02-02 02:00:00,9.97,10.8,9.84,10.64,303301.20939234
2017-02-09 02:00:00,10.65,12.79,9.87,12.26,616669.9286138
2017-02-16 02:00:00,12.26,12.26,11.41,11.95,308624.26403111
2017-02-23 02:00:00,11.98,16.28,11.95,16.28,738071.60242657
2017-03-02 02:00:00,16.28,19.62,15.3,15.3,1495248.60413679
2017-03-09 02:00:00,15.3,32.51,15.15,32.51,2184910.10009624
2017-03-16 02:00:00,32.51,47.0,28.8,37.79,2524292.5846982
2017-03-23 02:00:00,38.18,49.48,37.02,48.75,1208183.84652492
2017-03-30 03:00:00,48.75,49.18,38.4,42.22,907730.71392245
2017-04-06 03:00:00,42.22,44.5,38.71,43.4,439733.80479679
2017-04-13 03:00:00,43.4,47.8,43.3,44.69,402592.14672039
2017-04-20 03:00:00,44.71,49.49,44.35,48.33,413414.43421344
2017-04-27 03:00:00,48.33,73.66,48.33,73.2,1187869.15119889
2017-05-04 03:00:00,73.19,87.98,67.25,80.39,1153965.95494067
2017-05-11 03:00:00,80.39,85.99,76.71,78.82,474251.37675555
2017-05-18 03:00:00,78.82,389.01,78.81,163.19,1490104.6975767
2017-05-25 03:00:00,163.19,211.97,101.0,202.5,1954387.73187777
2017-06-01 03:00:00,202.5,237.97,185.84,228.35,741446.93178858
2017-06-08 03:00:00,228.35,351.49,226.5,309.69,1101742.24054326
2017-06-15 03:00:00,309.6,338.2,250.0,288.44,1114601.38096995
2017-06-22 03:00:00,288.44,298.0,186.71,278.09,1473919.66193342
2017-06-29 03:00:00,277.46,283.0,219.73,233.98,884545.3603172
2017-07-06 03:00:00,233.98,242.31,151.0,196.23,1033502.67465794
2017-07-13 03:00:00,196.9,218.63,117.36,168.0,2051789.38646549
2017-07-20 03:00:00,168.0,204.6,167.11,175.0,772382.50810615
2017-07-27 03:00:00,174.99,197.5,153.22,183.99,617353.92554124
2017-08-03 03:00:00,183.99,269.98,183.99,252.5,658491.27125044
2017-08-10 03:00:00,252.54,269.98,227.0,258.0,442994.01447536
2017-08-17 03:00:00,258.0,293.1,241.22,271.95,443403.16384828
2017-08-24 03:00:00,271.0,324.47,270.2,321.0,408098.64750632
2017-08-31 03:00:00,320.99,332.17,240.0,287.08,383664.33489006
2017-09-07 03:00:00,287.4,288.0,210.0,231.72,521364.3715791
2017-09-14 03:00:00,231.72,288.0,167.22,238.06,765777.47174606
2017-09-21 03:00:00,238.06,266.58,209.0,261.75,500426.00769702
2017-09-28 03:00:00,262.35,262.99,235.31,249.17,242843.39586045
2017-10-05 03:00:00,249.18,267.22,241.21,255.08,217316.50744256
2017-10-12 03:00:00,255.06,293.06,246.0,267.59,435020.83173725
2017-10-19 03:00:00,267.6,269.5,235.82,253.0,189845.4284812
2017-10-26 03:00:00,252.76,266.64,249.2,249.94,166601.17489853
2017-11-02 02:00:00,249.57,275.15,240.21,267.15,210483.7324434
2017-11-09 02:00:00,267.15,288.2,250.0,281.09,353551.28261405
2017-11-16 02:00:00,281.09,321.5,273.7,321.41,303930.34137754
2017-11-23 02:00:00,321.41,427.58,318.19,361.1,369211.82978925
2017-11-30 02:00:00,361.02,397.0,337.0,353.0,306765.58358202
2017-12-07 02:00:00,354.0,575.0,342.12,559.0,490371.82611505
2017-12-14 02:00:00,559.0,725.0,511.16,674.01,387392.64636826
2017-12-21 02:00:00,674.01,699.62,508.01,623.8,290547.40195434
2017-12-28 02:00:00,623.8,781.0,585.1,779.44,243971.51011728
2018-01-04 02:00:00,779.22,1150.4,750.26,1031.03,351560.14464642
